influence	blend_in	special	leader	authority
2953	no	yes	no	yes	no
2954	yes	yes	yes	yes	no
2955	yes	yes	no	no	no
2956	yes	yes	no	yes	yes
2957	yes	yes	no	yes	yes
2958	no	yes	no	no	no
2959	yes	yes	no	yes	no
2960	no	yes	yes	no	no
2961	yes	yes	yes	yes	no
2962	yes	yes	no	no	no
2963	yes	yes	yes	yes	yes
2964	no	yes	no	no	no
2965	no	yes	no	no	no
2966	no	no	no	no	yes
2967	yes	yes	no	no	no
2968	no	yes	yes	yes	yes
2969	yes	yes	no	yes	yes
2970	yes	no	yes	yes	yes
2971	no	yes	no	yes	yes
2972	yes	yes	no	no	no
2973	yes	no	no	no	no
2974	yes	no	yes	yes	yes
2975	no	yes	yes	no	no
2976	no	yes	no	no	no
2977	yes	yes	no	yes	no
2978	no	yes	no	yes	yes
2979	no	yes	no	yes	no
2980	no	yes	no	yes	no
2981	no	yes	no	no	no
2982	yes	no	yes	yes	yes
2983	yes	yes	no	no	yes
2984	no	yes	no	no	yes
2985	no	no	yes	yes	yes
2986	no	yes	no	no	yes
2987	yes	no	no	yes	yes
2988	no	yes	no	no	no
2989	no	yes	no	no	no
2990	no	yes	yes	yes	yes
2991	yes	yes	yes	yes	yes
2992	no	yes	no	no	no
2993	yes	yes	no	no	yes
2994	yes	yes	no	yes	no
2995	no	yes	no	yes	no
2996	yes	yes	yes	yes	no
2997	no	yes	no	yes	yes
2998	yes	yes	no	yes	yes
2999	no	yes	no	no	no
3000	yes	no	no	yes	yes
3001	yes	no	yes	yes	yes
3002	yes	yes	yes	yes	no
3003	yes	yes	no	no	no
3004	yes	yes	no	no	yes
3005	yes	no	yes	yes	yes
3006	no	no	yes	yes	no
3007	no	yes	yes	no	yes
3008	no	yes	no	no	yes
3009	no	yes	no	no	no
3010	yes	yes	no	yes	no
3011	no	no	yes	no	no
3012	yes	yes	no	yes	no
3013	yes	no	yes	no	no
3014	no	yes	no	no	no
3015	yes	no	yes	yes	no
3016	yes	yes	yes	yes	yes
3017	yes	no	no	no	yes
3018	yes	no	yes	no	no
3019	yes	no	no	no	no
3020	yes	no	yes	yes	yes
3021	no	yes	yes	yes	yes
3022	no	no	no	yes	yes
3023	yes	no	yes	yes	yes
3024	no	yes	yes	no	yes
3025	no	yes	no	no	yes
3026	no	yes	no	no	no
3027	yes	yes	no	yes	no
3028	yes	yes	no	no	yes
3029	no	yes	no	no	no
3030	no	no	no	no	no
3031	yes	yes	yes	yes	no
3032	yes	no	no	yes	yes
3033	yes	no	yes	yes	yes
3034	yes	no	yes	yes	yes
3035	yes	yes	no	no	no
3036	yes	no	yes	yes	yes
3037	no	no	yes	yes	yes
3038	no	yes	yes	no	no
3039	yes	no	no	no	yes
3040	yes	yes	no	no	no
3041	yes	no	yes	yes	yes
3042	no	no	yes	yes	yes
3043	no	yes	no	no	no
3044	no	yes	no	no	no
3045	no	no	no	no	no
3046	yes	yes	no	no	no
3047	no	yes	yes	yes	yes
3048	no	no	yes	no	yes
3049	no	yes	yes	yes	no
3050	yes	no	yes	yes	yes
3051	yes	no	no	yes	no
3052	yes	yes	no	no	yes
3053	no	yes	no	no	no
3054	yes	yes	no	yes	no
3055	yes	no	yes	no	no
3056	no	yes	yes	no	no
3057	yes	no	yes	yes	no
3058	yes	yes	no	no	no
3059	no	yes	yes	yes	yes
3060	yes	no	yes	yes	yes
3061	yes	yes	yes	no	no
3062	no	no	yes	no	no
3063	yes	no	yes	yes	no
3064	yes	yes	no	no	no
3065	no	yes	yes	no	yes
3066	yes	yes	no	no	no
3067	no	yes	no	no	yes
3068	yes	yes	no	yes	yes
3069	yes	yes	no	no	no
3070	no	no	yes	no	no
3071	no	yes	yes	no	no
3072	no	no	yes	yes	no
3073	no	yes	no	yes	no
3074	no	yes	no	no	no
3075	no	yes	no	no	yes
3076	no	yes	no	yes	no
3077	yes	no	yes	yes	yes
3078	yes	yes	no	yes	yes
3079	yes	no	yes	yes	yes
3080	no	yes	no	no	no
3081	yes	yes	yes	no	yes
3082	yes	no	no	no	no
3083	no	yes	no	yes	no
3084	yes	yes	no	yes	no
3085	yes	no	no	no	yes
3086	yes	yes	yes	yes	yes
3087	yes	no	yes	yes	yes
3088	yes	yes	no	yes	yes
3089	no	yes	no	no	no
3090	no	yes	yes	no	yes
3091	yes	yes	yes	yes	no
3092	yes	no	no	yes	no
3093	yes	yes	yes	yes	yes
3094	yes	no	yes	yes	yes
3095	yes	yes	yes	yes	yes
3096	yes	yes	no	yes	no
3097	no	no	yes	yes	no
3098	no	yes	no	no	yes
3099	yes	yes	no	no	no
3100	yes	yes	no	yes	no
3101	no	yes	no	no	no
3102	yes	no	no	no	no
3103	yes	no	no	yes	no
3104	yes	yes	no	no	yes
3105	yes	no	yes	yes	yes
3106	yes	no	no	no	yes
3107	yes	no	yes	yes	yes
3108	no	yes	yes	yes	no
3109	no	yes	no	no	no
3110	yes	no	yes	no	yes
3111	no	yes	no	no	no
3112	yes	no	yes	no	yes
3113	yes	yes	no	yes	yes
3114	yes	yes	yes	yes	yes
3115	no	yes	yes	no	yes
3116	yes	yes	no	yes	no
3117	no	yes	no	no	no
3118	yes	yes	yes	no	yes
3119	yes	no	yes	yes	yes
3120	no	yes	no	no	yes
3121	no	no	yes	no	no
3122	yes	yes	no	yes	yes
3123	yes	yes	yes	yes	no
3124	yes	yes	yes	yes	yes
3125	yes	no	yes	yes	no
3126	no	no	yes	no	no
3127	yes	yes	no	yes	no
3128	no	yes	no	yes	no
3129	no	yes	yes	yes	no
3130	yes	yes	yes	yes	yes
3131	no	yes	no	no	no
3132	yes	yes	yes	yes	no
3133	yes	no	no	yes	no
3134	no	yes	no	no	no
3135	no	no	yes	no	no
3136	yes	yes	yes	no	yes
3137	yes	yes	yes	no	yes
3138	no	yes	no	no	no
3139	yes	no	yes	no	yes
3140	yes	yes	no	yes	no
3141	yes	yes	no	yes	yes
3142	yes	yes	yes	no	no
3143	no	yes	no	no	no
3144	yes	no	yes	yes	yes
3145	yes	no	yes	yes	yes
3146	no	yes	yes	yes	yes
3147	yes	yes	yes	yes	no
3148	yes	yes	no	no	no
3149	no	yes	yes	yes	yes
3150	no	no	yes	no	yes
3151	yes	no	yes	no	yes
3152	yes	no	yes	yes	no
3153	yes	yes	yes	no	yes
3154	no	yes	no	no	no
3155	yes	no	yes	yes	no
3156	no	no	no	no	yes
3157	yes	yes	yes	yes	yes
3158	yes	no	yes	yes	yes
3159	yes	no	no	yes	no
3160	no	yes	yes	no	yes
3161	yes	yes	yes	yes	yes
3162	yes	yes	no	yes	no
3163	yes	yes	no	yes	yes
3164	no	yes	no	yes	yes
3165	yes	yes	no	yes	yes
3166	no	no	no	no	yes
3167	yes	yes	no	no	no
3168	no	yes	yes	no	no
3169	yes	no	yes	no	yes
3170	no	yes	no	no	no
3171	no	yes	no	yes	no
3172	no	yes	no	no	yes
3173	no	yes	yes	yes	no
3174	yes	yes	yes	yes	no
3175	yes	no	yes	yes	yes
3176	yes	yes	yes	yes	no
3177	no	no	no	yes	yes
3178	yes	yes	no	yes	no
3179	yes	yes	no	no	no
3180	no	yes	yes	yes	no
3181	no	yes	no	no	no
3182	no	yes	no	no	no
3183	yes	yes	yes	yes	no
3184	yes	no	yes	no	no
3185	yes	no	no	no	no
3186	yes	no	no	yes	yes
3187	yes	no	yes	yes	yes
3188	yes	yes	no	no	no
3189	no	yes	yes	yes	yes
3190	no	yes	yes	no	yes
3191	no	no	yes	yes	yes
3192	yes	yes	no	yes	yes
3193	yes	yes	yes	yes	yes
3194	yes	no	yes	yes	yes
3195	yes	yes	yes	no	yes
3196	yes	no	yes	no	yes
3197	yes	yes	no	yes	no
3198	no	yes	no	no	yes
3199	yes	no	yes	no	no
3200	yes	no	yes	no	no
3201	no	yes	no	no	no
3202	yes	no	yes	yes	no
3203	yes	yes	yes	no	no
3204	no	yes	yes	yes	yes
3205	no	yes	yes	yes	yes
3206	no	no	yes	no	no
3207	yes	no	yes	yes	yes
3208	yes	no	no	yes	no
3209	no	yes	no	yes	no
3210	yes	no	no	no	no
3211	no	yes	no	no	no
3212	yes	yes	yes	yes	no
3213	yes	no	yes	yes	no
3214	no	yes	yes	no	yes
3215	yes	no	yes	yes	yes
3216	yes	yes	no	yes	no
3217	no	no	yes	no	no
3218	no	no	yes	yes	yes
3219	no	no	yes	yes	yes
3220	yes	yes	no	yes	no
3221	yes	yes	no	yes	no
3222	no	yes	yes	yes	no
3223	no	yes	no	no	yes
3224	no	yes	no	yes	no
3225	no	yes	yes	no	yes
3226	no	no	yes	no	no
3227	yes	no	yes	yes	yes
3228	no	yes	no	no	no
3229	yes	no	no	yes	yes
3230	yes	no	yes	yes	yes
3231	yes	yes	yes	no	no
3232	no	yes	no	no	no
3233	yes	no	yes	yes	yes
3234	yes	yes	no	no	no
3235	no	yes	no	no	no
3236	yes	yes	no	no	no
3237	no	yes	no	no	no
3238	no	yes	yes	yes	yes
3239	yes	no	no	no	no
3240	yes	yes	yes	yes	no
3241	yes	yes	no	no	no
3242	yes	no	yes	no	no
3243	no	yes	yes	no	no
3244	yes	yes	no	yes	no
3245	yes	no	yes	no	no
3246	no	yes	no	no	no
3247	yes	yes	yes	yes	no
3248	no	yes	no	no	no
3249	no	yes	yes	yes	yes
3250	yes	no	yes	yes	yes
3251	no	yes	no	yes	no
3252	yes	yes	yes	yes	yes
3253	yes	yes	no	no	no
3254	yes	yes	yes	no	no
3255	yes	yes	no	yes	yes
3256	yes	yes	no	yes	yes
3257	yes	yes	yes	yes	no
3258	yes	yes	no	yes	yes
3259	yes	no	no	yes	yes
3260	yes	no	yes	yes	yes
3261	no	no	no	no	no
3262	no	yes	no	yes	yes
3263	yes	yes	yes	yes	no
3264	yes	yes	no	yes	yes
3265	no	yes	yes	no	no
3266	yes	no	yes	yes	yes
3267	yes	yes	yes	no	no
3268	yes	no	yes	yes	no
3269	yes	yes	yes	yes	yes
3270	no	yes	no	no	yes
3271	yes	no	yes	yes	no
3272	no	yes	no	no	no
3273	yes	no	yes	no	no
3274	yes	yes	yes	yes	no
3275	yes	no	no	yes	no
3276	yes	no	yes	yes	yes
3277	yes	yes	no	yes	no
3278	yes	yes	yes	yes	yes
3279	no	yes	no	yes	no
3280	yes	no	yes	yes	yes
3281	yes	yes	no	no	no
3282	yes	yes	yes	no	no
3283	no	no	yes	no	yes
3284	yes	no	yes	yes	yes
3285	yes	no	no	yes	yes
3286	yes	no	yes	yes	yes
3287	yes	yes	yes	yes	yes
3288	yes	no	no	yes	yes
3289	yes	no	yes	yes	yes
3290	no	yes	yes	no	yes
3291	no	no	yes	no	no
3292	yes	yes	no	yes	no
3293	yes	yes	no	no	no
3294	yes	no	no	yes	yes
3295	yes	yes	no	no	yes
3296	yes	yes	yes	yes	no
3297	yes	yes	yes	no	yes
3298	yes	yes	no	yes	yes
3299	no	yes	no	no	no
3300	yes	yes	yes	yes	yes
3301	no	yes	no	no	no
3302	yes	yes	no	yes	yes
3303	yes	no	yes	yes	yes
3304	yes	yes	no	no	no
3305	yes	yes	yes	yes	no
3306	no	yes	no	no	no
3307	no	yes	no	no	no
3308	yes	yes	yes	no	no
3309	no	yes	no	yes	no
3310	no	yes	yes	yes	yes
3311	yes	yes	no	no	no
3312	no	yes	yes	yes	no
3313	yes	yes	no	no	no
3314	yes	yes	yes	yes	yes
3315	yes	yes	no	yes	no
3316	yes	yes	no	no	no
3317	yes	no	yes	yes	no
3318	no	yes	no	yes	no
3319	yes	yes	yes	yes	yes
3320	yes	no	yes	yes	yes
3321	yes	yes	yes	no	no
3322	no	no	yes	yes	yes
3323	yes	yes	yes	yes	no
3324	yes	no	yes	yes	yes
3325	no	yes	yes	no	no
3326	yes	yes	yes	yes	yes
3327	yes	no	no	yes	yes
3328	no	no	yes	no	yes
3329	no	yes	no	no	no
3330	yes	yes	no	no	no
3331	yes	yes	yes	yes	no
3332	yes	yes	yes	no	yes
3333	yes	yes	no	yes	no
3334	no	yes	no	yes	no
3335	yes	no	yes	yes	yes
3336	yes	yes	no	yes	no
3337	yes	yes	no	yes	yes
3338	yes	yes	no	no	no
3339	yes	yes	no	no	no
3340	yes	no	yes	no	yes
3341	yes	no	yes	yes	yes
3342	yes	no	yes	yes	yes
3343	no	no	yes	yes	yes
3344	yes	no	yes	yes	yes
3345	no	yes	yes	no	no
3346	yes	yes	yes	yes	yes
3347	no	yes	no	no	no
3348	yes	no	yes	yes	yes
3349	no	yes	no	no	yes
3350	yes	no	yes	yes	yes
3351	yes	yes	yes	no	yes
3352	yes	no	no	yes	yes
3353	yes	yes	yes	yes	no
3354	yes	no	yes	yes	no
3355	yes	no	yes	yes	yes
3356	yes	no	yes	no	no
3357	no	yes	yes	yes	yes
3358	yes	yes	yes	yes	no
3359	yes	yes	yes	no	no
3360	yes	no	yes	yes	no
3361	yes	yes	no	no	no
3362	yes	yes	yes	no	no
3363	no	no	yes	yes	yes
3364	yes	yes	no	yes	no
3365	no	yes	no	no	no
3366	no	yes	yes	yes	yes
3367	no	yes	yes	yes	no
3368	yes	yes	no	yes	no
3369	yes	no	no	yes	yes
3370	no	yes	yes	no	yes
3371	no	yes	yes	no	yes
3372	yes	yes	yes	no	no
3373	yes	no	yes	yes	yes
3374	yes	no	yes	yes	no
3375	yes	no	yes	yes	yes
3376	no	yes	yes	yes	no
3377	yes	yes	no	yes	no
3378	no	yes	no	yes	no
3379	no	yes	no	no	no
3380	yes	no	no	yes	no
3381	no	yes	yes	no	yes
3382	yes	yes	no	no	yes
3383	yes	yes	no	no	no
3384	yes	yes	no	no	yes
3385	yes	yes	yes	yes	yes
3386	yes	no	yes	no	no
3387	yes	yes	no	no	no
3388	yes	yes	no	yes	no
3389	yes	no	yes	no	no
3390	no	yes	no	yes	no
3391	no	yes	no	no	no
3392	no	yes	no	no	no
3393	no	no	yes	no	yes
3394	yes	yes	yes	yes	yes
3395	no	no	no	no	no
3396	yes	yes	yes	yes	no
3397	yes	no	yes	yes	yes
3398	no	yes	no	no	no
3399	yes	yes	no	no	no
3400	no	no	yes	no	no
3401	no	yes	no	no	no
3402	no	yes	yes	no	no
3403	no	yes	no	no	no
3404	yes	yes	no	no	yes
3405	yes	no	no	yes	yes
3406	yes	yes	no	yes	yes
3407	no	yes	no	no	yes
3408	no	yes	yes	no	yes
3409	no	yes	yes	no	yes
3410	no	no	yes	no	no
3411	yes	no	yes	yes	yes
3412	yes	no	yes	no	no
3413	yes	yes	yes	yes	yes
3414	yes	yes	no	no	no
3415	yes	no	yes	yes	yes
3416	yes	yes	yes	yes	no
3417	no	yes	yes	no	yes
3418	yes	yes	no	no	no
3419	yes	yes	yes	yes	no
3420	yes	no	no	yes	yes
3421	no	yes	yes	no	no
3422	yes	yes	yes	yes	yes
3423	no	yes	no	yes	no
3424	yes	yes	yes	yes	yes
3425	yes	no	no	no	no
3426	yes	yes	no	no	no
3427	yes	no	yes	yes	yes
3428	yes	no	yes	yes	no
3429	no	yes	no	no	no
3430	yes	no	yes	yes	yes
3431	yes	no	no	yes	yes
3432	yes	yes	no	yes	no
3433	no	yes	no	no	no
3434	yes	no	yes	yes	yes
3435	yes	no	yes	yes	yes
3436	yes	yes	no	no	yes
3437	no	yes	no	no	yes
3438	yes	yes	no	yes	yes
3439	no	no	yes	no	no
3440	yes	no	yes	yes	yes
3441	yes	no	yes	yes	yes
3442	no	yes	yes	no	no
3443	yes	yes	yes	yes	yes
3444	no	yes	no	yes	no
3445	yes	no	no	yes	yes
3446	no	yes	no	yes	no
3447	yes	yes	no	yes	no
3448	yes	yes	yes	yes	no
3449	yes	no	yes	yes	yes
3450	yes	yes	no	no	no
3451	no	no	yes	yes	yes
3452	no	yes	no	no	no
3453	yes	yes	no	yes	no
3454	yes	yes	no	yes	yes
3455	no	yes	yes	no	no
3456	yes	no	yes	no	yes
3457	yes	no	yes	yes	yes
3458	yes	yes	yes	yes	yes
3459	yes	no	yes	yes	no
3460	no	no	yes	no	no
3461	yes	no	yes	no	no
3462	no	no	yes	no	yes
3463	yes	no	yes	no	yes
3464	yes	yes	no	yes	no
3465	no	yes	no	no	no
3466	yes	yes	yes	yes	yes
3467	yes	no	yes	yes	yes
3468	no	yes	no	no	no
3469	no	no	yes	no	no
3470	no	yes	no	no	no
3471	yes	yes	no	yes	no
3472	yes	yes	no	yes	no
3473	yes	yes	no	yes	no
3474	no	no	no	no	no
3475	yes	yes	yes	yes	yes
3476	yes	yes	yes	yes	yes
3477	yes	no	no	yes	no
3478	yes	no	yes	no	no
3479	yes	yes	no	yes	no
3480	yes	no	yes	yes	yes
3481	yes	no	yes	no	yes
3482	yes	yes	yes	yes	yes
3483	yes	yes	yes	no	no
3484	yes	yes	no	no	no
3485	yes	yes	no	yes	yes
3486	yes	yes	yes	no	no
3487	yes	no	yes	yes	yes
3488	yes	no	no	yes	no
3489	no	yes	no	no	no
3490	no	yes	no	no	no
3491	yes	no	yes	yes	yes
3492	yes	yes	no	yes	no
3493	yes	no	yes	yes	yes
3494	yes	yes	no	no	no
3495	no	yes	yes	yes	yes
3496	no	no	no	yes	no
3497	yes	yes	yes	yes	yes
3498	no	yes	no	yes	no
3499	no	yes	no	yes	no
3500	no	yes	yes	no	no
3501	yes	no	yes	yes	yes
3502	yes	no	yes	yes	yes
3503	no	yes	no	no	no
3504	yes	yes	no	yes	no
3505	no	no	no	yes	no
3506	yes	no	yes	yes	yes
3507	yes	no	no	yes	yes
3508	yes	yes	no	yes	no
3509	yes	yes	yes	no	no
3510	no	yes	yes	yes	no
3511	yes	yes	no	no	no
3512	no	yes	yes	no	no
3513	yes	no	yes	no	no
3514	yes	no	yes	yes	yes
3515	yes	no	yes	yes	yes
3516	no	no	no	no	no
3517	yes	yes	no	yes	yes
3518	no	yes	no	no	yes
3519	yes	no	no	yes	yes
3520	yes	yes	no	yes	no
3521	no	yes	no	no	no
3522	no	yes	no	yes	yes
3523	no	yes	no	no	no
3524	no	no	no	yes	no
3525	yes	yes	no	no	no
3526	yes	no	no	yes	yes
3527	no	yes	yes	yes	yes
3528	no	yes	no	no	no
3529	yes	yes	no	yes	no
3530	yes	no	yes	no	yes
3531	yes	yes	no	no	no
3532	no	yes	yes	yes	no
3533	no	yes	no	no	no
3534	yes	yes	no	no	no
3535	no	yes	no	no	yes
3536	yes	yes	no	no	no
3537	no	yes	no	no	no
3538	no	yes	yes	no	yes
3539	no	yes	no	no	no
3540	no	yes	no	yes	yes
3541	yes	no	yes	yes	yes
3542	yes	yes	yes	yes	yes
3543	yes	no	no	no	no
3544	yes	yes	no	yes	no
3545	yes	yes	no	no	no
3546	no	yes	yes	no	no
3547	yes	no	no	yes	yes
3548	yes	yes	yes	no	no
3549	no	no	no	no	no
3550	yes	yes	no	yes	no
3551	no	yes	no	yes	no
3552	no	yes	no	yes	no
3553	yes	no	yes	yes	no
3554	no	yes	no	yes	no
3555	no	yes	no	no	no
3556	no	no	yes	no	no
3557	yes	yes	no	yes	no
3558	yes	yes	yes	yes	no
3559	yes	no	yes	yes	yes
3560	no	yes	no	no	no
3561	yes	yes	no	yes	no
3562	yes	yes	yes	no	no
3563	yes	yes	no	yes	yes
3564	yes	no	no	yes	no
3565	yes	no	yes	yes	yes
3566	yes	yes	yes	yes	yes
3567	yes	yes	no	yes	no
3568	yes	yes	yes	no	no
3569	yes	no	yes	yes	yes
3570	no	yes	no	no	no
3571	yes	no	yes	no	no
3572	yes	no	yes	yes	yes
3573	yes	yes	no	no	no
3574	yes	no	no	yes	no
3575	no	yes	yes	yes	no
3576	no	yes	yes	no	no
3577	no	yes	no	no	no
3578	yes	yes	yes	yes	yes
3579	no	yes	yes	no	no
3580	yes	no	yes	yes	yes
3581	yes	yes	yes	yes	yes
3582	no	yes	no	no	no
3583	no	yes	no	no	no
3584	yes	yes	no	yes	no
3585	yes	yes	no	yes	no
3586	yes	no	no	yes	yes
3587	no	yes	yes	yes	yes
3588	yes	yes	no	no	no
3589	yes	no	yes	yes	yes
3590	no	yes	no	no	no
3591	no	no	no	yes	yes
3592	no	yes	no	no	no
3593	no	no	no	no	no
3594	no	yes	yes	no	no
3595	no	yes	no	no	yes
3596	no	yes	no	no	yes
3597	yes	yes	no	yes	no
3598	yes	yes	yes	no	yes
3599	yes	yes	yes	yes	yes
3600	yes	yes	no	no	yes
3601	yes	yes	yes	no	no
3602	yes	yes	no	yes	no
3603	yes	no	yes	yes	yes
3604	no	yes	no	no	no
3605	no	yes	no	yes	yes
3606	no	yes	yes	no	no
3607	no	yes	yes	no	no
3608	no	yes	no	no	no
3609	no	yes	no	no	yes
3610	yes	yes	no	no	no
3611	yes	no	yes	yes	yes
3612	yes	yes	yes	yes	yes
3613	yes	yes	no	yes	no
3614	no	yes	yes	no	no
3615	yes	no	yes	no	yes
3616	no	no	yes	yes	yes
3617	no	yes	no	yes	no
3618	no	yes	no	yes	yes
3619	yes	no	no	yes	no
3620	yes	no	yes	yes	yes
3621	no	yes	no	no	no
3622	no	yes	yes	no	no
3623	no	no	yes	no	yes
3624	yes	yes	yes	yes	no
3625	no	no	yes	yes	no
3626	yes	yes	no	no	no
3627	no	yes	no	no	yes
3628	yes	yes	no	yes	no
3629	yes	yes	yes	no	no
3630	no	yes	no	yes	yes
3631	yes	no	no	yes	no
3632	yes	no	no	yes	no
3633	yes	no	yes	yes	no
3634	no	no	no	no	yes
3635	no	yes	no	yes	yes
3636	yes	yes	no	no	yes
3637	yes	yes	no	no	no
3638	yes	yes	yes	no	yes
3639	yes	no	yes	no	no
3640	yes	yes	yes	yes	no
3641	no	yes	yes	no	no
3642	no	yes	yes	yes	no
3643	yes	no	yes	no	yes
3644	yes	yes	yes	yes	no
3645	no	yes	no	no	yes
3646	yes	yes	yes	yes	no
3647	yes	yes	yes	yes	yes
3648	yes	no	yes	no	no
3649	yes	yes	no	yes	yes
3650	yes	yes	yes	no	no
3651	yes	yes	no	no	no
3652	yes	yes	no	yes	no
3653	yes	yes	no	yes	yes
3654	yes	yes	no	yes	yes
3655	yes	yes	no	yes	no
3656	yes	yes	no	yes	yes
3657	yes	no	no	yes	yes
3658	no	yes	no	no	yes
3659	no	no	no	no	no
3660	yes	yes	no	no	no
3661	yes	no	no	no	no
3662	yes	yes	yes	yes	no
3663	yes	yes	no	no	no
3664	yes	yes	yes	no	yes
3665	no	yes	yes	yes	no
3666	yes	no	yes	yes	no
3667	no	yes	yes	no	yes
3668	yes	yes	no	yes	yes
3669	yes	no	no	yes	no
3670	no	yes	no	no	no
3671	yes	yes	no	yes	no
3672	no	yes	no	no	no
3673	yes	yes	no	no	no
3674	yes	yes	yes	no	no
3675	no	no	no	no	no
3676	no	yes	no	no	no
3677	no	yes	no	no	yes
3678	yes	no	no	yes	no
3679	yes	no	yes	no	no
3680	yes	yes	no	yes	no
3681	yes	no	yes	no	yes
3682	yes	yes	no	yes	no
3683	no	no	no	no	no
3684	yes	yes	no	yes	yes
3685	no	yes	no	yes	no
3686	no	yes	yes	no	yes
3687	yes	no	no	no	yes
3688	no	yes	yes	no	no
3689	no	yes	yes	no	no
3690	no	yes	no	yes	no
3691	yes	yes	no	no	no
3692	yes	yes	no	yes	no
3693	yes	yes	no	yes	no
3694	yes	yes	yes	yes	no
3695	yes	no	yes	yes	yes
3696	yes	no	yes	yes	no
3697	no	yes	yes	no	no
3698	no	yes	no	no	yes
3699	yes	yes	yes	yes	no
3700	no	yes	yes	no	no
3701	yes	no	no	yes	yes
3702	no	yes	no	no	yes
3703	no	yes	no	yes	yes
3704	no	yes	no	no	no
3705	no	yes	no	no	no
3706	yes	no	no	yes	yes
3707	yes	yes	no	no	no
3708	no	yes	yes	no	yes
3709	no	yes	yes	yes	yes
3710	yes	yes	yes	no	yes
3711	no	yes	no	no	yes
3712	yes	yes	yes	yes	no
3713	yes	no	yes	yes	yes
3714	yes	yes	yes	yes	no
3715	yes	yes	yes	no	no
3716	no	yes	yes	no	no
3717	no	yes	yes	yes	no
3718	yes	no	no	yes	yes
3719	no	yes	no	no	no
3720	no	yes	yes	yes	no
3721	no	yes	no	no	no
3722	yes	yes	yes	no	no
3723	yes	yes	no	yes	no
3724	yes	no	no	yes	yes
3725	yes	no	no	yes	no
3726	yes	no	yes	yes	no
3727	yes	no	yes	yes	yes
3728	no	yes	no	yes	no
3729	yes	no	yes	yes	no
3730	yes	yes	no	yes	no
3731	no	yes	no	no	yes
3732	no	yes	no	no	yes
3733	yes	yes	no	no	yes
3734	no	yes	no	no	yes
3735	yes	yes	no	no	yes
3736	yes	yes	no	no	no
3737	yes	yes	yes	no	no
3738	yes	yes	yes	yes	yes
3739	no	yes	no	no	no
3740	no	yes	no	no	no
3741	no	yes	yes	no	no
3742	no	yes	no	no	no
3743	yes	yes	no	no	no
3744	yes	yes	yes	yes	no
3745	no	no	yes	yes	yes
3746	no	yes	no	yes	no
3747	no	yes	no	no	no
3748	no	yes	no	yes	no
3749	yes	yes	no	no	no
3750	yes	yes	yes	no	no
3751	yes	no	yes	yes	yes
3752	yes	no	yes	yes	yes
3753	no	yes	yes	no	no
3754	yes	no	yes	yes	no
3755	yes	yes	no	yes	no
3756	yes	no	yes	yes	yes
3757	yes	no	no	yes	no
3758	yes	yes	no	no	no
3759	yes	yes	no	yes	yes
3760	yes	yes	no	yes	no
3761	yes	yes	no	no	no
3762	yes	yes	no	yes	no
3763	yes	yes	no	yes	no
3764	yes	no	no	yes	yes
3765	yes	yes	no	no	yes
3766	no	yes	no	yes	no
3767	yes	yes	yes	yes	no
3768	no	yes	no	no	no
3769	yes	yes	no	yes	no
3770	yes	yes	yes	yes	no
3771	yes	yes	no	no	yes
3772	no	yes	no	no	no
3773	no	yes	no	yes	yes
3774	yes	no	yes	no	yes
3775	yes	no	no	yes	no
3776	yes	yes	yes	yes	yes
3777	yes	yes	yes	no	no
3778	no	yes	no	no	no
3779	yes	no	yes	no	no
3780	yes	no	no	yes	no
3781	yes	yes	yes	no	no
3782	no	yes	no	yes	no
3783	no	yes	yes	yes	no
3784	yes	yes	no	yes	yes
3785	yes	no	no	yes	yes
3786	no	yes	no	no	no
3787	yes	yes	yes	no	no
3788	yes	no	yes	yes	yes
3789	yes	yes	yes	yes	yes
3790	no	yes	no	yes	yes
3791	no	no	yes	no	no
3792	no	yes	no	no	no
3793	yes	no	no	no	no
3794	no	yes	no	no	no
3795	yes	yes	no	no	no
3796	yes	yes	no	yes	no
3797	yes	yes	no	no	no
3798	no	yes	yes	no	yes
3799	yes	no	no	yes	yes
3800	no	yes	no	yes	no
3801	yes	no	no	no	yes
3802	yes	no	no	yes	no
3803	no	yes	yes	no	yes
3804	no	yes	no	no	no
3805	yes	no	yes	yes	yes
3806	yes	no	yes	yes	yes
3807	yes	yes	no	yes	no
3808	yes	no	no	yes	no
3809	yes	yes	yes	no	no
3810	yes	yes	yes	yes	no
3811	no	yes	yes	no	no
3812	yes	yes	no	no	no
3813	no	yes	yes	no	no
3814	yes	no	yes	no	no
3815	no	yes	no	no	no
3816	yes	yes	no	yes	no
3817	no	yes	no	no	no
3818	yes	yes	yes	yes	yes
3819	no	yes	no	no	no
3820	no	no	no	no	no
3821	yes	yes	no	no	no
3822	yes	yes	yes	yes	no
3823	no	yes	no	no	no
3824	no	yes	no	no	no
3825	yes	yes	yes	yes	yes
3826	yes	yes	no	yes	no
3827	yes	yes	no	no	no
3828	yes	yes	no	no	no
3829	no	yes	no	no	no
3830	no	yes	no	no	no
3831	no	yes	no	no	yes
3832	yes	yes	yes	yes	yes
3833	yes	no	yes	no	yes
3834	yes	no	yes	no	no
3835	no	yes	no	no	no
3836	no	yes	no	no	no
3837	yes	yes	no	yes	no
3838	yes	yes	no	yes	no
3839	no	yes	no	no	yes
3840	yes	yes	no	no	yes
3841	yes	no	no	no	no
3842	yes	yes	yes	yes	yes
