influence	blend_in	special	leader	authority
217	yes	yes	yes	no	no
218	no	yes	no	no	no
219	no	no	yes	yes	no
220	yes	yes	no	yes	no
221	yes	no	yes	yes	yes
222	no	yes	yes	no	no
223	no	yes	yes	no	yes
224	yes	yes	no	yes	yes
225	no	yes	no	yes	no
226	yes	yes	yes	yes	yes
227	yes	yes	no	yes	yes
228	yes	yes	no	no	no
229	yes	yes	yes	yes	yes
230	yes	no	yes	no	yes
231	no	yes	no	no	no
232	yes	no	no	no	no
233	no	yes	no	no	no
234	yes	no	no	yes	no
235	no	yes	no	no	no
236	yes	no	yes	yes	yes
237	no	no	yes	no	yes
238	yes	yes	yes	no	no
239	yes	yes	no	yes	yes
240	yes	yes	no	no	no
241	yes	no	yes	yes	no
242	yes	no	no	yes	yes
243	yes	no	yes	yes	yes
244	no	no	no	no	no
245	yes	yes	no	yes	no
246	yes	no	yes	yes	yes
247	yes	yes	yes	yes	no
248	yes	yes	no	no	no
249	yes	yes	yes	yes	no
250	no	no	no	no	no
251	yes	yes	no	no	no
252	yes	yes	no	yes	no
253	yes	no	yes	yes	yes
254	no	no	no	no	yes
255	yes	no	yes	yes	yes
256	yes	yes	yes	yes	yes
257	yes	yes	no	yes	no
258	no	no	yes	no	no
259	yes	yes	yes	yes	yes
260	no	yes	no	no	no
261	no	yes	no	no	yes
262	yes	yes	yes	yes	yes
263	yes	no	yes	yes	yes
264	yes	yes	yes	no	no
265	no	yes	no	yes	no
266	yes	no	no	yes	yes
267	yes	no	no	no	no
268	no	yes	yes	yes	no
269	no	no	no	no	no
270	no	yes	yes	yes	yes
271	yes	yes	no	yes	yes
272	yes	yes	no	yes	yes
273	yes	no	yes	yes	yes
274	no	no	yes	yes	yes
275	yes	no	yes	no	yes
276	yes	no	yes	yes	yes
277	yes	yes	no	no	no
278	no	no	yes	yes	yes
279	no	no	yes	no	yes
280	yes	yes	yes	yes	no
281	yes	no	yes	yes	yes
282	no	no	yes	yes	yes
283	yes	no	no	yes	no
284	no	yes	no	yes	yes
285	yes	no	yes	yes	yes
286	no	yes	yes	no	yes
287	no	yes	no	no	no
288	no	yes	no	yes	yes
289	no	no	yes	yes	yes
290	no	yes	no	no	no
291	yes	no	yes	no	yes
292	yes	no	yes	yes	yes
293	yes	yes	no	no	no
294	yes	yes	no	yes	no
295	yes	no	yes	yes	yes
296	yes	yes	yes	yes	no
297	yes	yes	yes	no	no
298	no	yes	no	yes	no
299	yes	no	yes	yes	yes
300	no	yes	no	no	no
301	no	yes	no	no	yes
302	no	yes	yes	no	no
303	yes	no	yes	yes	yes
304	yes	no	yes	yes	no
305	yes	yes	yes	yes	yes
306	no	yes	yes	no	no
307	yes	yes	no	no	no
308	yes	no	no	yes	no
309	yes	no	no	no	yes
310	yes	no	yes	yes	yes
311	yes	yes	no	no	no
312	yes	yes	no	no	no
313	yes	no	no	no	no
314	no	yes	yes	no	no
315	yes	yes	yes	yes	no
316	yes	no	yes	yes	yes
317	yes	yes	no	no	no
318	no	yes	yes	no	no
319	no	yes	yes	no	no
320	yes	yes	yes	yes	yes
321	yes	no	yes	yes	yes
322	no	yes	no	yes	no
323	yes	yes	no	no	no
324	no	yes	no	no	yes
325	no	yes	no	no	no
326	yes	yes	no	no	no
327	no	yes	no	no	no
328	no	yes	no	no	no
329	yes	no	yes	yes	yes
330	no	yes	no	no	no
331	no	yes	no	no	no
332	no	yes	no	yes	no
333	no	yes	no	no	no
334	yes	no	yes	yes	yes
335	yes	no	yes	yes	yes
336	no	yes	yes	no	no
337	no	yes	no	no	no
338	yes	yes	no	no	no
339	no	yes	yes	no	no
340	no	yes	no	no	no
341	yes	no	yes	yes	no
342	yes	no	yes	yes	yes
343	yes	no	yes	yes	yes
344	yes	yes	no	yes	no
345	no	yes	yes	yes	no
346	no	yes	no	yes	no
347	yes	yes	no	yes	no
348	no	yes	no	yes	no
349	yes	no	yes	yes	yes
350	yes	no	yes	yes	yes
351	yes	yes	no	no	yes
352	yes	yes	no	yes	no
353	no	yes	no	no	no
